"Vessel Name","Destination Port","Reported Eta","Arrived At","Capacity - Dwt","Vessel Type - Generic",Flag,"Current Port","Reported Destination","Navigational Status",Build,Length,Width,"Current Port Country","Draught Max","Draught Min","Vessel Type - Detailed","Launch Date",Imo,Eni,Mmsi,"Global Area","Local Area","Current Port Unlocode"
JAGUAR,TRAPANI,"2024-03-25 10:30:00","2024-03-25 10:34:00",327,"Special Craft",Cyprus,TRAPANI,"IT TPS",Moored,2010,38.0,11.8,IT,3.9,3.4,"Supply Vessel",,9558610,,209881000,"West Mediterranean","Tyrrhenian Sea",ITTPS
"JAS 76",JASTARNIA,"2024-03-25 10:45:00","2024-03-25 09:43:00",55,Fishing,Poland,JASTARNIA,JASTARNIA,"Engaged in Fishing",1965,24.6,6.6,PL,3.2,3.2,"Fishing Vessel",,7045906,,261007950,"Baltic Sea","Baltic Sea",PLJAT
"ALP CENTRE","LAS PALMAS","2024-03-25 10:50:00","2024-03-25 10:12:00",3609,"Special Craft",Netherlands,"LAS PALMAS",ESLPA,Moored,2010,74.2,21.1,ES,8.9,6.3,"Anchor Handling Vessel",2009-08-21,9398541,,244830810,"West Africa","West Africa",ESLPA
STOKER,"POINTE NOIRE","2024-03-25 10:51:00","2024-03-25 10:51:00",,Passenger,"St Vincent Grenadines","POINTE NOIRE ANCH",LIKOUF,Stopped,,20.0,6.0,CG,1.2,1.2,"Search & Rescue",,0,,377545000,"West Africa","West Africa",
"FRUSKA GORA","SREMSKA MITROVICA","2024-03-25 10:54:00","2024-03-26 16:47:00",,Unspecified,Serbia,"SREMSKA MITROVICA",,"Underway using Engine",,35.0,8.0,RS,,,Unspecified,,0,0,279202387,"Inland, Europe","Inland, Europe",RSSRM
NINOU,"EL NIDO","2024-03-25 10:56:00","2024-03-25 11:33:00",,"Sailing Vessel",Greece,"EL NIDO","EL NIDO","Underway using Engine",1978,12.0,4.0,PH,1.8,1.8,"Sailing Vessel",,0,0,912371035,Philippines,Philippines,PHENI
EXPLORER,"PORT KLANG","2024-03-25 11:00:00","2024-03-25 09:46:00",47639,Cargo,Panama,"PORT KLANG","PORT KLANG",Moored,1996,190.0,30.5,MY,12.4,4.6,"Bulk Carrier",,9114622,,374609000,Indonesia,"Malacca Strait",MYPKG
SEMERU,"PORT SUDAN","2024-03-25 11:00:00","2024-03-25 12:32:00",105777,Tanker,Malta,,"SD PZU","Underway using Engine",2008,244.0,42.0,,15.0,5.0,"Crude Oil Tanker",2008-03-26,9388376,,248417000,"Red Sea","Red Sea",
EVONA,HUDAIDAH,"2024-03-25 11:00:00","2024-03-25 11:10:00",58721,Cargo,"Marshall Is",HUDAIDAH,"YE HOD","At Anchor",2013,197.0,32.3,YE,13.2,3.8,"Bulk Carrier",2012-10-24,9552355,,538010949,"Red Sea","Red Sea",YEHOD
SOVEREIGN,ROTTERDAM,"2024-03-25 11:00:00","2024-03-25 13:11:00",1800,Tug,Belgium,"ROTTERDAM WAALHAVEN",ROTTERDAM,Moored,2003,67.4,15.5,NL,7.7,5.9,"Tug/Supply Vessel",,9262742,,205644000,"UK Coast & Atlantic","Rotterdam Area",NLWAL
"KOREA VISION",YEOSU,"2024-03-25 11:00:00","2024-03-25 13:10:00",3675,Tanker,Korea,"YEOSU ANCH",KRYOS,"At Anchor",2021,97.0,16.0,KR,5.5,3.7,"LPG Tanker",2020-10-08,9891854,0,441103000,"North China","East China Sea",
"YANGZE 12",SANTOS,"2024-03-25 11:00:00","2024-03-25 10:48:00",81664,Cargo,Liberia,"SANTOS ANCH",SANTOS.BRAZIL,"At Anchor",2019,229.0,32.3,BR,14.6,5.7,"Bulk Carrier",,9604017,0,636018731,"East Coast South America","East Coast South America",
"AFRICAN DOVE",AVEIRO,"2024-03-25 11:00:00","2024-03-25 14:48:00",34402,Cargo,Bahamas,AVEIRO,AVEIRO,Moored,2014,180.0,30.0,PT,10.8,5.7,"Bulk Carrier",2014-03-10,9682772,,311000205,"UK Coast & Atlantic","UK Coast & Atlantic",PTAVE
"JANVIER L.RAPHAEL","PORT VICTORIA","2024-03-25 11:00:00","2024-03-25 06:46:00",500,Fishing,France,,"PORT VICTORIA",Stopped,2003,38.0,9.5,,4.2,4.0,"Fishing Vessel",,9293026,,226254000,"East Africa","East Africa",
PANORAMA,GORINCHEM,"2024-03-25 11:10:00","2024-03-25 09:49:00",,Cargo,Netherlands,GORINCHEM,GORINCHEM,Moored,,85.0,9.5,NL,2.5,1.0,"Inland Cargo",,0,08023057,244820996,"Inland, Europe","North Sea",NLGOR
"WESTERN SANTIAGO","SAN LORENZO","2024-03-25 11:12:00","2024-03-25 09:31:00",61900,Cargo,Philippines,"SAN LORENZO","AR SLO",Moored,2020,200.0,32.0,AR,13.5,6.2,"Bulk Carrier",,9838503,0,548998000,"Inland, South America","Inland, South America",ARSLO
"ZHE YONG YOU 11",ZHOUSHAN,"2024-03-25 11:15:00","2024-03-26 04:00:00",,Tanker,China,ZHOUSHAN,"ZHOU SHAN",Moored,,118.0,17.0,CN,7.3,4.0,"Other Tanker",,0,,412752880,"Central China","East China Sea",CNZOS
"WINPOSH READY",DUBAI,"2024-03-25 11:30:00","2024-03-25 11:41:00",2650,"Special Craft",Panama,DUBAI,,Moored,2014,70.3,16.6,AE,5.8,3.8,"Offshore Vessel",2013-10-10,9709879,,356742000,"Arabian Gulf","Dubai Area",AEDXB
"TIEN QUANG 68",VISSAI,"2024-03-25 11:30:00","2024-03-26 03:03:00",5304,Cargo,Vietnam,"HAI PHONG",VISSAI,Stopped,2010,92.5,15.4,VN,8.0,3.4,"Bulk Carrier",,9586978,,574000880,"South-East Asia","South-East Asia",VNHPH
"OSMAN BEY",FILYOS,"2024-03-25 11:30:00","2024-03-25 09:42:00",3257,"Special Craft",Turkey,,FILYOS,Stopped,2009,73.6,16.0,,6.1,3.7,"Supply Vessel",,9421764,,271046820,"Black Sea","Black Sea",
BERGHAUS,CUXHAVEN,"2024-03-25 11:30:00","2024-03-25 09:31:00",,Other,Germany,CUXHAVEN,CUXHAVEN,Moored,1940,49.0,11.0,DE,2.1,1.0,"Other Special Craft",,0,,211229200,"UK Coast & Atlantic","Elbe River",DECUX
A20,ONNE,"2024-03-25 11:30:00","2024-03-25 11:13:00",65,"Special Craft",Nigeria,,ONNE,"Underway using Engine",2017,34.3,6.8,,3.1,1.6,"Patrol Vessel",,9777034,0,657152400,"West Africa","Gulf of Guinea",
"OCEAN ROYAL","NEW ORLEANS","2024-03-25 11:45:00","2024-03-25 18:07:00",58110,Cargo,Malta,"NEW ORLEANS",USMSY,"At Anchor",2012,190.0,32.3,US,13.7,5.5,"Bulk Carrier",,9465150,0,248209000,"Gulf of Mexico","Gulf of Mexico",USMSY
"GC B144","SANTA MARGHERITA LIG","2024-03-25 11:47:00","2024-03-25 10:18:00",,"Search and Rescue",Italy,"SANTA MARGHERITA LIG",,Stopped,,8.0,3.0,IT,0.8,0.8,"Search & Rescue",,0,0,247473300,"West Mediterranean","Ligurean Sea",ITSML
"SUPER SHUTTLE RORO 7",BATANGAS,"2024-03-25 12:00:00","2024-03-27 11:34:00",4339,Cargo,Panama,BATANGAS,BATANGAS,Moored,1994,146.0,21.4,PH,6.2,4.6,"Ro-Ro/Vehicles Carrier",,9117727,,371633000,Philippines,Philippines,PHBTG
"EL JOY",SURABAYA,"2024-03-25 12:00:00","2024-03-25 23:47:00",533,Cargo,Mongolia,SURABAYA,SURABAYA,Stopped,1994,51.7,8.0,ID,13.0,2.2,"General Cargo",1994-02-28,8877784,,457396000,Indonesia,"Java Sea",IDSUB
SEEBERGEN,CUXHAVEN,"2024-03-25 12:00:00","2024-03-25 06:38:00",,Other,Germany,CUXHAVEN,CUXHAVEN,Moored,,42.0,12.0,DE,2.0,1.6,"Other Special Craft",,0,,211117380,"UK Coast & Atlantic","Elbe River",DECUX
"DHB DAUNTLESS",DOVER,"2024-03-25 12:00:00","2024-03-25 07:35:00",234,Tug,"United Kingdom",DOVER,DOVER,Stopped,2000,30.8,10.2,GB,4.8,4.2,Tug,,9190456,,232004784,"UK Coast & Atlantic","English Channel",GBDVR
"HENG TAI 6669",NANSHA,"2024-03-25 12:00:00","2024-03-25 06:03:00",,Cargo,China,,NANSHA,Moored,,86.0,16.0,,4.6,1.0,"Other Cargo",,0,0,413844352,"South China","South China",
"KREBS HELIOS",ROSTOCK,"2024-03-25 12:00:00","2024-03-25 11:44:00",221,Cargo,Germany,ROSTOCK,DERSK,Moored,1968,48.8,9.5,DE,4.7,3.0,"General Cargo",1968-05-01,6818617,,211638130,"Baltic Sea","Baltic Sea",DERSK
"STAR EUROPE",ISKENDERUN,"2024-03-25 12:00:00","2024-03-25 13:07:00",180667,Cargo,"Marshall Is",ISKENDERUN,"ISDEMIR TURKEY",Moored,2016,291.9,45.0,TR,18.6,6.2,"Bulk Carrier",2015-10-03,9753351,0,538006799,"East Mediterranean","East Mediterranean",TRISK
"ETERNAL LIGHT",DALIAN,"2024-03-25 12:00:00","2024-03-25 11:19:00",8898,Cargo,Panama,"DALIAN ANCH","CN DLC","At Anchor",2004,105.5,26.0,CN,7.0,3.6,"General Cargo",2004-04-08,9314595,,352587000,"North China","Yellow Sea",
PULPCA,HANKO,"2024-03-25 12:00:00","2024-03-25 13:10:00",18250,Cargo,Netherlands,HANKO,HANKO,"At Anchor",2008,205.0,25.8,FI,8.7,5.8,"Ro-Ro/Vehicles Carrier",,9345386,,245097000,"Baltic Sea","Finland Gulf",FIHKO
SEASTRENGTH,SANTOS,"2024-03-25 12:00:00","2024-03-25 17:52:00",81134,Cargo,Malta,"SANTOS ANCH",BRSSZ,"At Anchor",2011,229.0,32.3,BR,14.9,6.5,"Bulk Carrier",,9589671,,256503000,"East Coast South America","East Coast South America",
"N.P.SOHA III",MUMBAI,"2024-03-25 12:00:00",,94,Tug,India,,"MUMBAI HIGH","Underway using Engine",1993,21.5,6.8,,2.5,2.2,Tug,,8878788,0,419006400,"West Coast India","West Coast India",
"WILSON FEDJE",BROMBOROUGH,"2024-03-25 12:00:00","2024-03-26 22:27:00",4501,Cargo,Barbados,BROMBOROUGH,GBBHK,Moored,2012,89.9,15.7,GB,6.4,3.4,"General Cargo",2012-04-10,9491757,,314397000,"UK Coast & Atlantic","Irish Sea",GBBHK
DODO,ALEXANDRIA,"2024-03-25 12:00:00","2024-03-25 10:08:00",6025,Cargo,Togo,ALEXANDRIA,"ALEXANDARI EGYPT",Moored,1985,106.6,17.9,EG,7.8,3.0,"General Cargo",,8322040,,671012100,"East Mediterranean","East Mediterranean",EGALY
KYDONIA,ITAQUI,"2024-03-25 12:00:00","2024-03-25 12:38:00",92828,Cargo,Greece,"SAO LUIS ANCH","ITAQUI BRAZIL","At Anchor",2012,229.2,38.0,BR,15.0,6.6,"Bulk Carrier",,9588615,,241259000,"East Coast South America","East Coast South America",
"MAR FORTUNE",HUSOY,"2024-03-25 12:00:00",,331,"Special Craft",Norway,HUSOYA,HUSOY,Moored,2002,44.3,11.0,NO,4.0,2.0,"Service Vessel",,9267273,,257011630,"Norwegian Coast","North Sea",NOHSO
ANDA,SLIEDRECHT,"2024-03-25 12:06:00","2024-03-25 14:10:00",,Cargo,Netherlands,SLIEDRECHT,"HAVEN TE SLIEDRECHT",Moored,2009,135.0,11.4,NL,3.2,1.0,"Inland Cargo",,0,02332439,244660065,"UK Coast & Atlantic","North Sea",NLSLD
"HUA XING 57",ZHOUSHAN,"2024-03-25 12:12:00","2024-03-25 14:11:00",,Cargo,China,,"ZHOU SHAN","At Anchor",,71.0,11.0,,2.5,1.1,"Other Cargo",,0,0,413238050,"Central China","East China Sea",
"ECO GIGLIO","PORTO TORRES","2024-03-25 12:24:00","2024-03-25 11:55:00",,"Special Craft",Italy,"PORTO TORRES",,Stopped,,21.0,6.0,IT,2.5,1.8,"Other Special Craft",,0,,247182700,"West Mediterranean","West Mediterranean",ITPTO
"HANG JUN 11",NANTONG,"2024-03-25 12:30:00","2024-03-25 08:21:00",2797,"Special Craft",China,"NANTONG ANCH","NAN TONG","At Anchor",1998,85.0,15.0,CN,4.1,3.0,Dredger,,9199282,,412070150,"Central China","East China Sea",
"DIAMOND XXIV",SHARJAH,"2024-03-25 12:30:00","2024-03-25 08:35:00",1341,"Special Craft",Panama,SHARJAH,"SHARJAH,UAE",Moored,2010,59.3,14.9,AE,5.0,3.5,"Offshore Vessel",2010-09-11,9586942,0,352001421,"Arabian Gulf","Persian Gulf",AESHJ
"UKD SEAHORSE",ABERDEEN,"2024-03-25 12:30:00","2024-03-25 09:54:00",,Tug,"United Kingdom",ABERDEEN,ABERDEEN,Moored,2000,26.0,10.0,GB,2.8,2.3,Tug,,9066655,,232004441,"UK Coast & Atlantic","North Sea",GBABD
"OCEAN DALIAN","MUARA BERAU","2024-03-25 13:00:00","2024-03-25 12:31:00",75599,Cargo,"Hong Kong","MUARA BERAU","MUARA BERAU","At Anchor",2011,225.0,32.3,ID,14.6,5.5,"Bulk Carrier",2011-08-08,9493640,,477424800,Indonesia,"Makassar Strait",IDMUB
"EMILY BRONTE",BREISACH,"2024-03-25 13:00:00","2024-03-25 13:14:00",,Passenger,Switzerland,,BREISACH,"Underway using Engine",2017,135.0,11.4,,6.5,1.5,"Inland Passengers Ship",,0,07002052,269057584,"UK Coast & Atlantic","Rotterdam Area",
RAMELIA,"PORT JEROME","2024-03-25 13:00:00","2024-03-25 13:05:00",17994,Tanker,Sweden,"ROUEN ANCH",FRPJE,"At Anchor",2019,149.9,23.0,FR,9.5,4.6,"Oil/Chemical Tanker",,9818280,0,265013000,"UK Coast & Atlantic","English Channel",
"NAVIOS CITRINE","LONG BEACH","2024-03-25 13:00:00","2024-03-25 13:31:00",81626,Cargo,Panama,"LONG BEACH","US LGB",Moored,2017,228.9,32.2,US,14.8,5.4,"Bulk Carrier",2016-10-21,9782170,0,373046000,"US West Coast","US West Coast",USLGB
ALVA,TIKO,"2024-03-25 13:00:00","2024-03-25 14:33:00",1335,Cargo,Togo,TIKO,TIKO,"Not Under Command",1968,68.2,10.5,CM,5.2,2.7,"General Cargo",,6808090,,671044300,"West Africa","Gulf of Guinea",CMTKC
"RUBISHIPS XII",RUSE,"2024-03-25 13:00:00","2024-03-25 08:06:00",,Cargo,Bulgaria,RUSE,RUSE,Moored,,86.0,11.0,BG,2.6,1.0,"Inland Cargo",,0,02305427,207072325,"Inland, Europe","Inland, Europe",BGRDU
SENATOR,BREMEN,"2024-03-25 13:00:00","2024-03-25 13:00:00",,Passenger,Germany,BREMEN,BREMEN,Moored,,26.1,6.4,DE,1.8,1.6,"Inland Passengers Ship",,0,05305030,211230560,"Inland, Europe","North Sea",DEBRE
"LESTARI MANJUNG","TABONEO ANCH","2024-03-25 13:00:00","2024-03-25 13:12:00",93200,Cargo,Malaysia,"TABONEO ANCH","ID TAB","At Anchor",2011,229.1,38.5,ID,15.2,6.5,"Bulk Carrier",2010-12-24,9568574,,533132249,Indonesia,"Java Sea",IDTAB
MAESTRO,LIEPAJA,"2024-03-25 13:00:00","2024-03-25 12:22:00",2953,Cargo,"Antigua Barbuda",LIEPAJA,LIEPAJA,Moored,2004,88.9,12.4,LV,4.9,2.4,"General Cargo",,9214006,,304196000,"Baltic Sea","Baltic Sea",LVLPX
"HUYU 906","MAR DEL PLATA","2024-03-25 13:00:00","2024-03-25 17:28:00",888,Fishing,Argentina,"MAR DEL PLATA","MAR DEL PLATA",Stopped,1986,67.8,10.2,AR,4.9,4.0,"Fishing Vessel",,8614883,0,701006731,"East Coast South America","East Coast South America",ARMDQ
"COMMODORE ONE",CILACAP,"2024-03-25 13:00:00","2024-03-26 13:40:00",37343,Tanker,Indonesia,"CILACAP ANCH","ID CILACAP","At Anchor",2003,182.6,27.4,ID,11.5,4.0,"Crude Oil Tanker",,9260017,,525121011,Indonesia,Indonesia,
"HEILAN BRIGHT",DJIBOUTI,"2024-03-25 13:00:00","2024-03-25 11:51:00",56882,Cargo,Panama,DJIBOUTI,DJIBOUTI,Moored,2011,190.0,32.3,DJ,13.5,6.0,"Bulk Carrier",,9587958,,370329000,"East Africa","Gulf of Aden",DJJIB
"BRAM BUCCANEER","RIO DE JANEIRO","2024-03-25 13:00:00","2024-03-25 15:10:00",5175,"Special Craft",Brazil,,"RIO DE JANEIRO-RJ","Underway using Engine",2013,92.6,18.3,,6.3,4.3,"Fire Fighting Vessel",2013-08-23,9690432,,710014030,"East Coast South America","East Coast South America",
"PAUL BAY","VILA DO CONDE","2024-03-25 13:00:00","2024-03-26 03:02:00",38330,Cargo,"Marshall Is","VILA DO CONDE","BR VDC",Moored,2016,180.0,32.0,BR,10.8,5.0,"Bulk Carrier",2015-09-23,9741736,,538090660,"East Coast South America","East Coast South America",BRVDC
"TANZANIA II",RAVENNA,"2024-03-25 13:00:00","2024-03-25 13:35:00",100,Tug,Italy,ANCONA,ITRAN,"Restricted Manoeuvrability",1967,23.6,6.8,IT,0.2,0.2,Tug,,8959269,,247298600,"Adriatic Sea","Adriatic Sea",ITAOI
"THIEN LONG PILOT","DONG NAI","2024-03-25 13:08:00","2024-03-26 10:40:00",,"Special Craft",Vietnam,"DONG NAI","HON GAI","Underway using Engine",,79.0,15.0,VN,6.0,6.0,"Pilot Boat",,0,0,574014368,"South-East Asia","South-East Asia",VNDNA
"SPACE Y","PALMA DE MALLORCA","2024-03-25 13:10:00","2024-03-25 08:01:00",320,"Pleasure Craft","Cayman Is","PALMA DE MALLORCA","PALMA DE MALLORCA",Moored,2007,46.7,8.5,ES,2.9,2.0,Yacht,,1009261,,319023900,"West Mediterranean","Balearic Sea",ESPMI
"MIN LONG YU 61122","XIAMEN ANCH","2024-03-25 13:19:00","2024-03-25 10:17:00",,Fishing,China,ZHANGZHOU,DA.LI,"Class B",,30.0,6.0,CN,5.0,5.0,"Other Fishing",,0,0,412445183,"South China","East China Sea",CNZZU
EVENTUM,ROTTERDAM,"2024-03-25 13:29:00","2024-03-26 07:53:00",,Tanker,Germany,,ROTTERDAM,"Underway using Engine",,85.0,9.5,,3.1,1.0,"Inland Tanker",,0,04812030,211688230,"Inland, Europe","Inland, Europe",
ARTABRO,"TERMINI IMERESE","2024-03-25 13:30:00","2024-03-25 13:42:00",3000,"Special Craft",Spain,"TERMINI IMERESE","IT TRI",Moored,2004,90.7,18.9,IT,5.5,4.5,"Supply Vessel",2003-07-02,9297785,,224866000,"West Mediterranean","Tyrrhenian Sea",ITTRI
MONEIKOS,MONACO,"2024-03-25 13:30:00","2024-03-25 14:21:00",205,"Pleasure Craft",Monaco,MONACO,MONACO,Moored,2006,62.0,11.5,MC,3.8,3.6,Yacht,,1009091,,254800000,"West Mediterranean","Ligurean Sea",MCMON
"HONG YUAN",LIVERPOOL,"2024-03-25 13:30:00","2024-03-25 13:03:00",76574,Cargo,Panama,LIVERPOOL,LIVERPOOL,"At Anchor",2009,225.0,32.3,GB,14.7,4.3,"Bulk Carrier",,9500883,,353143000,"UK Coast & Atlantic","Irish Sea",GBLIV
RELINQUENDA,EEMSHAVEN,"2024-03-25 13:31:00","2024-03-25 12:17:00",,Cargo,Netherlands,EEMSHAVEN,"EEMSHAVEN JULIANAHA",Stopped,1943,114.0,11.4,NL,2.5,0.2,"Inland Tug",,0,02104116,244750018,"UK Coast & Atlantic","North Sea",NLEEM
GUIHUA6899,GUANGZHOU,"2024-03-25 13:35:00","2024-03-25 10:42:00",,Cargo,China,FOSHAN,"GUANG ZHOU","Class B",,78.0,15.0,CN,4.6,1.2,"Other Cargo",,0,0,413843208,"South China","South China",CNFOS
VALDEMAR,ALMERIA,"2024-03-25 14:00:00","2024-03-25 12:19:00",105,Tug,Denmark,ALMERIA,ESLEI,Moored,1981,26.3,7.4,ES,7.1,1.9,Tug,1981-02-26,8108121,,219025221,"West Mediterranean","West Mediterranean",ESLEI
"PU YANG 2",DALIAN,"2024-03-25 14:00:00","2024-03-26 22:34:00",3285,Cargo,"DPR Korea","DALIAN ANCH",DALIAN,Underway,1994,84.6,15.0,CN,5.5,4.0,"Container Ship",,8891297,0,445783000,"North China","Yellow Sea",
"BF LETICIA",ORAN,"2024-03-25 14:00:00","2024-03-25 14:18:00",11170,Cargo,Cyprus,"ORAN ANCH",DZORN,"Underway using Engine",2003,134.4,22.5,DZ,9.3,5.5,"Container Ship",2002-12-19,9266542,,209613000,"West Mediterranean","West Mediterranean",
"FAISAL M",ISKENDERUN,"2024-03-25 14:00:00","2024-03-25 16:17:00",7045,Cargo,Tanzania,ISKENDERUN,ISKENDERIN,Moored,1990,92.0,19.0,TR,10.0,3.5,"General Cargo",,8921494,,677079200,"East Mediterranean","East Mediterranean",TRISK
"PENELOPE OLDENDORFF",MOBILE,"2024-03-25 14:00:00","2024-03-25 14:28:00",114861,Cargo,Liberia,"MOBILE ANCH","US MOB","At Anchor",2010,255.0,43.1,US,14.8,6.0,"Bulk Carrier",,9464596,,636092850,"Gulf of Mexico","Gulf of Mexico",
CHALLENGER,MONNICKENDAM,"2024-03-25 14:00:00","2024-03-25 12:08:00",,Passenger,Netherlands,MONNICKENDAM,MONNICKENDAM,Moored,,19.6,5.2,NL,1.5,1.4,"Inland Passengers Ship",,0,02331288,244810085,"UK Coast & Atlantic","North Sea",NLMNN
KHAIRPUR,"AL JUBAIL","2024-03-25 14:00:00","2024-03-25 08:28:00",74986,Tanker,Pakistan,"AL JUBAIL",SAJUB,Moored,2012,228.0,32.3,SA,13.9,7.0,"Oil Products Tanker",,9594872,,463065101,"Arabian Gulf","Persian Gulf",SAJUB
ARRIERO,CALLAO,"2024-03-25 14:00:00","2024-03-25 17:56:00",249,Tug,Chile,"CALLAO ANCH","CALLAO PE",Stopped,2015,32.0,12.8,PE,6.2,5.8,Tug,,9753131,,725002954,"West South America","West South America",
VENTURA,FREETOWN,"2024-03-25 14:00:00","2024-03-25 12:48:00",48184,Cargo,Liberia,"FREETOWN ANCH","SL FNA",Stopped,2002,190.0,32.3,SL,12.0,5.2,"Bulk Carrier",2001-11-20,9233416,,636021998,"West Africa","West Africa",
MAZOWSZE,SYROS,"2024-03-25 14:00:00","2024-03-26 07:27:00",38981,Cargo,Bahamas,SYROS,"GR JSY",Moored,2009,190.0,28.6,GR,10.9,4.9,"Bulk Carrier",2009-01-09,9386914,,311005700,"East Mediterranean","Aegean Sea",GRJSY
OCTOPUS,TAIZHOU,"2024-03-25 14:00:00","2024-03-27 01:10:00",1104,Tanker,Malaysia,TAIZHOU,"TAIZHOU CNA",Moored,1994,66.1,10.0,CN,4.6,2.3,"Oil/Chemical Tanker",1994-04-15,9104201,,533132963,"Central China","East China Sea",CNTZO
"WILLEM LOURENS",IZMAIL,"2024-03-25 14:00:00","2024-03-25 13:57:00",,Cargo,Slovakia,,IZMAIL,Stopped,,19.6,2.4,,3.5,1.0,"Inland Cargo",,0,02322650,267131008,"Black Sea","Black Sea",
IMPALA,ROELOFARENDSVEEN,"2024-03-25 14:00:00","2024-03-25 14:11:00",,"Pleasure Craft",Netherlands,ROELOFARENDSVEEN,"ROELOFARENDSVEEN NL",Moored,1987,14.0,4.0,NL,1.2,1.2,"Other Pleasure Craft",,0,,244090904,"UK Coast & Atlantic","North Sea",NLRAV
"PALLADA GAS",GALATI,"2024-03-25 14:20:00","2024-03-25 12:09:00",5761,Tanker,Liberia,GALATI,ROGAL,"Underway using Engine",1996,100.0,20.0,RO,5.9,3.0,"LPG Tanker",,9143154,,636022923,"Inland, Europe","Inland, Europe",ROGAL
"LE NIOMINKA","PORT EN BESSIN","2024-03-25 14:21:00","2024-03-26 23:28:00",,Fishing,France,,,"Underway using Engine",,11.0,5.0,,,,"Other Fishing",,0,0,227312190,"UK Coast & Atlantic","English Channel",
"MALALA VII",KENDARI,"2024-03-25 14:24:00","2024-03-25 17:38:00",,Tanker,Indonesia,PALOPO,KENDARI,"Underway by Sail",,103.0,15.0,ID,6.5,4.0,"Other Tanker",,0,0,525301161,Indonesia,"Banda Sea",IDPPO
THIERISA,"PORT EN BESSIN","2024-03-25 14:28:00","2024-03-26 09:25:00",,Fishing,France,,,"Engaged in Fishing",,15.0,6.0,,,,"Other Fishing",,8543058,,228239600,"UK Coast & Atlantic","English Channel",
"OCEAN GAS",MANGALORE,"2024-03-25 14:30:00","2024-03-25 09:08:00",54517,Tanker,Panama,MANGALORE,"IN NML","Underway using Engine",2008,225.0,36.6,IN,12.4,6.8,"LPG Tanker",,9388687,,370653000,"West Coast India","West Coast India",INNML
"SIEM EMERALD",MONTROSE,"2024-03-25 14:40:00","2024-03-25 14:18:00",4250,Tug,Norway,,"MONTROSE PORT","At Anchor",2009,91.0,22.0,,7.8,6.0,"Tug/Supply Vessel",2009-07-24,9417701,,257434000,"UK Coast & Atlantic","North Sea",
"SIRIUS SKY",NORFOLK,"2024-03-25 14:58:00","2024-03-26 20:00:00",60514,Cargo,Singapore,"NORFOLK ANCH",USORF,"At Anchor",2017,200.0,32.2,US,13.2,5.7,"Bulk Carrier",,9817559,0,563033500,"US East Coast","US East Coast",
"ZHONG SHAN MEN",JEDDAH,"2024-03-25 15:00:00","2024-03-25 12:52:00",55449,Cargo,Panama,JEDDAH,JEDDAH,Moored,2016,190.0,32.3,SA,13.2,6.9,"General Cargo",,9743318,0,351339000,"Red Sea","Red Sea",SAJED
"HONGLI 8",VARNA,"2024-03-25 15:00:00","2024-03-25 10:42:00",35050,Cargo,Panama,VARNA,"BG VAR",Moored,2012,179.9,28.8,BG,10.7,5.4,"Bulk Carrier",,9659933,,372693000,"Black Sea","Black Sea",BGVAR
SANGHA,"PALMA DE MALLORCA","2024-03-25 15:00:00","2024-03-25 11:36:00",,"Pleasure Craft","Cayman Is","PALMA DE MALLORCA",PALMA,Moored,2020,42.0,7.0,ES,2.7,2.2,Yacht,,9905007,0,319178200,"West Mediterranean","Balearic Sea",ESPMI
"JUAN SEBASTIAN DE ELCANO",ASHBURTON,"2024-03-25 15:00:00","2024-03-25 15:20:00",25900,"Special Craft",Luxembourg,ASHBURTON,ASHBURTON,"Restricted Manoeuvrability",2002,158.0,27.8,AU,11.2,6.1,Dredger,,9238909,,253234000,"West Australia","West Australia",AUASB
"IDEL 2","YALOVA TOWN","2024-03-25 15:00:00","2024-03-25 11:48:00",8075,Cargo,Russia,YALOVA,"TR YLA",Moored,2019,140.9,17.0,TR,4.8,2.0,"General Cargo",,9873101,0,273458610,"Black Sea","Marmara Sea",TRYAL
DELTA,KARLSHAMN,"2024-03-25 15:00:00","2024-03-25 14:31:00",158,Tug,Sweden,KARLSHAMN,KARLSHAMN,Stopped,2006,28.0,9.8,SE,4.5,4.0,Tug,,9399715,,266324000,"Baltic Sea","Baltic Sea",SEKAN
BRIZU,"CAGAYAN DE ORO","2024-03-25 15:00:00","2024-03-25 10:07:00",2225,Cargo,Philippines,"CAGAYAN DE ORO",CDO,"Underway using Engine",2013,77.9,17.0,PH,3.6,2.5,"Special Cargo",,9707223,,548521500,Philippines,Philippines,PHCGY
"RCC STARGAZER",ARKHANGELSK,"2024-03-25 15:00:00","2024-03-25 13:54:00",9103,Cargo,Russia,ARKHANGELSK,ARKHANGELSK,Moored,2000,130.2,15.9,RU,7.9,4.3,"General Cargo",,9190212,,273259700,"North Coast CIS","White Sea",RUARH
"LUCKY BROTHER",BEIRUT,"2024-03-25 15:00:00","2024-03-25 11:09:00",7578,Cargo,Palau,BEIRUT,BEIRUT,Stopped,1983,107.0,20.0,LB,7.7,3.5,"General Cargo",1981-09-11,7917006,,511009000,"East Mediterranean","East Mediterranean",LBBEY
"SEABREEZE II",YALOVA,"2024-03-25 15:00:00","2024-03-26 13:37:00",5354,Cargo,Panama,YALOVA,TR/YALOVA,Moored,1988,138.3,16.7,TR,4.1,2.0,"General Cargo",,8972273,,372426000,"Black Sea","Marmara Sea",TRYAL
