IMO number,MMSI,Name of the ship,Former names,Vessel type,Operating status,Flag,Gross tonnage,Deadweight,Length,Breadth,Engine type,Year of build,Builder,Classification society,Home port,Owner,Manager,Description,Engine model,Engine power
9453860,710025780,JOSE DO PATROCINIO,JOS&EACUTE DO PATROC                                                  JOS&EACUTE DO PATROC,Crude oil tanker,Active,Brazil,81429 tons,157055 tons,274 m,48 m,,2015,"ESTALEIRO ATLANTICO SUL - IPOJUCA, BRAZIL",AMERICAN BUREAU OF SHIPPING,RIO DE JANEIRO,"TRANSPETRO - RIO DE JANEIRO, BRAZIL","TRANSPETRO - RIO DE JANEIRO, BRAZIL","JOSE DO PATROCINIO is a Crude oil tanker built in 2015 by ESTALEIRO ATLANTICO SUL - IPOJUCA, BRAZIL. Currently sailing under the flag of Brazil. Formerly also known as JOS&EACUTE DO PATROC, JOS&EACUTE DO PATROC. It's gross tonnage is 81429 tons.",,
9403396,636020198,MSC CANCUN,MP THE BROWN                                                                               (2022)                          BAHIA                                                                               (2019)                          ZIM UKRAYINA                                                                               (2018),Container ship,Active,Liberia,41322 tons,52316 tons,258 m,32 m,MAN-B&W,2009,"HANJIN SUBIC SHIPYARD - OLONGAPO, PHILIPPINES",GERMANISCHER LLOYD,MONROVIA,"NSC HOLDING - HAMBURG, GERMANY","NSC HOLDING - HAMBURG, GERMANY","MSC CANCUN is a Container ship built in 2009 by HANJIN SUBIC SHIPYARD - OLONGAPO, PHILIPPINES. Currently sailing under the flag of Liberia. Formerly also known as MP THE BROWN, BAHIA, ZIM UKRAYINA. It's gross tonnage is 41322 tons.",8K90MC-C,36560 KW
9371684,636091878,GASCHEM CARIBIC,,LPG carrier,Active,Liberia,7313 tons,9305 tons,128 m,18 m,MAK,2011,"SANTIERUL NAVAL SEVERNAV - SEVERIN, ROMANIA",GERMANISCHER LLOYD,MONROVIA,"CHEMGAS SCHIFFAHRT - LEER, GERMANY","HARTMANN REEDEREI - LEER, GERMANY","GASCHEM CARIBIC is a LPG carrier built in 2011 by SANTIERUL NAVAL SEVERNAV - SEVERIN, ROMANIA. Currently sailing under the flag of Liberia. It's gross tonnage is 7313 tons.",6M43C,3000 KW
9308857,249583000,CARMEL,"CARMEL                                                                               (2019, Malta)                          CAVMEL                                                                               (2018, Malta)                          CAPLEL                                                                               (2017, Malta)                          BBMEL                                                                               (2017, Malta)",Crude oil tanker,Active,Malta,58418 tons,104955 tons,243 m,42 m,,2006,"WAIGAOQIAO SHIPBUILDING - SHANGHAI, CHINA",AMERICAN BUREAU OF SHIPPING,VALLETTA,"HEIDMAR - NORWALK CT, United States (USA)",TMS TANKERS,"CARMEL is a Crude oil tanker built in 2006 by WAIGAOQIAO SHIPBUILDING - SHANGHAI, CHINA. Currently sailing under the flag of Malta. Formerly also known as CARMEL, CAVMEL, CAPLEL, BBMEL. It's gross tonnage is 58418 tons.",,
9396024,249534000,SICHEM OSPREY,"SICHEM OSPREY                                                                               (2019, Malta)                          S                                                                               (2018, Malta)",Chemical/Oil tanker,Active,Malta,17822 tons,25432 tons,170 m,26 m,MAN-B&W,2009,"DAE SUN SHIPBUILDING & ENGINEERING - BUSAN, SOUTH KOREA",AMERICAN BUREAU OF SHIPPING,VALLETTA,EITZEN CHEMICAL SINGAPORE - SINGAPORE,"V.SHIPS UK - GLASGOW, United Kingdom (UK)","SICHEM OSPREY is a Chemical/Oil tanker built in 2009 by DAE SUN SHIPBUILDING & ENGINEERING - BUSAN, SOUTH KOREA. Currently sailing under the flag of Malta. Formerly also known as SICHEM OSPREY, S. It's gross tonnage is 17822 tons.",6S46MC-C,7800 KW
9221839,636014645,AGIOS MINAS,"AGHD MINAS                                                                               (2018, Liberia)                          AGMOS MINAS 0                                                                               (2017, Liberia)                          CMA CGM RAVEL                                                                               (2013, Liberia)                          CMA CGH                                                                               (2012, Liberia)                          CMA-CGM RAVEL                                                                               (2011, Liberia)",Container ship,Active,Liberia,73059 tons,79465 tons,300 m,40 m,,2001,"DAEWOO SHIPBUILDING & MARINE ENGINEERING CO. LTD. - GEOJE, SOUTH KOREA",,MONROVIA,INTERNATIONAL MARITIME ENTERPRISE - MONACO,INTERNATIONAL MARITIME ENTERPRISE - MONACO,"AGIOS MINAS is a Container ship built in 2001 by DAEWOO SHIPBUILDING & MARINE ENGINEERING CO. LTD. - GEOJE, SOUTH KOREA. Currently sailing under the flag of Liberia. Formerly also known as AGHD MINAS, AGMOS MINAS 0, CMA CGM RAVEL, CMA CGH, CMA-CGM RAVEL. It's gross tonnage is 73059 tons.",,
9231779,636015496,MSC MEXICO,MEXICO                                                                               (2022)                          OOCL MEXICO                                                                               (2016)                          ZIM MEDITERRANEAN                                                                               (2013)                          ZIM MEDITERRANEAN                                                                               (2012),Container ship,Active,Liberia,53453 tons,66686 tons,294 m,32 m,,2002,"HYUNDAI HEAVY INDUSTRIES CO. LTD. - ULSAN, SOUTH KOREA",AMERICAN BUREAU OF SHIPPING,MONROVIA,"XT MANAGEMENT - HAIFA, ISRAEL","XT MANAGEMENT - HAIFA, ISRAEL","MSC MEXICO is a Container ship built in 2002 by HYUNDAI HEAVY INDUSTRIES CO. LTD. - ULSAN, SOUTH KOREA. Currently sailing under the flag of Liberia. Formerly also known as MEXICO, OOCL MEXICO, ZIM MEDITERRANEAN, ZIM MEDITERRANEAN. It's gross tonnage is 53453 tons.",,
9708203,538006129,ARDMORE SEALION,,Chemical/Oil tanker,Active,Marshall Islands,29737 tons,49999 tons,183 m,32 m,,2015,"SPP SHIPBUILDING GOSEONG SHIPYARD - DONGHAE, SOUTH KOREA",,,FAIR ISLE - MARSHALL ISLANDS,"VITOL - GENEVA, SWITZERLAND","ARDMORE SEALION is a Chemical/Oil tanker built in 2015 by SPP SHIPBUILDING GOSEONG SHIPYARD - DONGHAE, SOUTH KOREA. Currently sailing under the flag of Marshall Islands. It's gross tonnage is 29737 tons.",,
9355290,209137000,GAS ALICE,"GAS ALICE                                                                               (2017, Liberia)                          SAKURA HARMONY                                                                               (2013, Panama)",LPG carrier,Active,Cyprus,2997 tons,3147 tons,95 m,15 m,,2006,"MIURA SHIPBUILDING - SAIKI, JAPAN",NIPPON KAIJI KYOKAI (NKK),LIMASSOL,"STEALTH MARITIME - ATHENS, GREECE","STEALTH MARITIME - ATHENS, GREECE","GAS ALICE is a LPG carrier built in 2006 by MIURA SHIPBUILDING - SAIKI, JAPAN. Currently sailing under the flag of Cyprus. Formerly also known as GAS ALICE, SAKURA HARMONY. It's gross tonnage is 2997 tons.",,
9314870,241751000,KRITI ADMIRAL,KRISJANIS VALDEMARS                                                                               (2021)                          KRISJANIS VALDEMARS                                                                               (2021),Chemical/Oil tanker,Active,Greece,23315 tons,37266 tons,183 m,27 m,B&W,2007,"HYUNDAI MIPO DOCKYARD CO. LTD. - ULSAN, SOUTH KOREA",LLOYD'S SHIPPING REGISTER,,"LATVIAN SHIPPING - RIGA, LATVIA","LATVIAN SHIPPING - RIGA, LATVIA","KRITI ADMIRAL is a Chemical/Oil tanker built in 2007 by HYUNDAI MIPO DOCKYARD CO. LTD. - ULSAN, SOUTH KOREA. Currently sailing under the flag of Greece. Formerly also known as KRISJANIS VALDEMARS, KRISJANIS VALDEMARS. It's gross tonnage is 23315 tons.",6S50MC,8044 KW
9241267,310381000,LNG BAYELSA,"JZZ C                                                                               (2019, Bermuda)                          R.. ELR                                                                               (2019, Bermuda)                          LNG BAYELSA                                                                               (2018, Palau)                          LJLIR                                                                               (2017, Bermuda)",LNG carrier,Active,Bermuda,114354 tons,79822 tons,288 m,48 m,Mitsubishi,2003,"HYUNDAI HEAVY INDUSTRIES CO. LTD. - ULSAN, SOUTH KOREA",LLOYD'S SHIPPING REGISTER,HAMILTON,"NIGERIA LNG - PORT HARCOURT, NIGERIA","NIGERIA LNG - PORT HARCOURT, NIGERIA","LNG BAYELSA is a LNG carrier built in 2003 by HYUNDAI HEAVY INDUSTRIES CO. LTD. - ULSAN, SOUTH KOREA. Currently sailing under the flag of Bermuda. Formerly also known as JZZ C, R.. ELR, LNG BAYELSA, LJLIR. It's gross tonnage is 114354 tons.",,
9406659,636015522,SESTREA,"SESTREA                                                                               (2019, Liberia)",Crude oil tanker,Active,Liberia,81502 tons,158519 tons,274 m,48 m,MAN-B&W,2009,"SAMSUNG SHIPBUILDING & HEAVY INDUSTRIES CO. LTD. - GEOJE, SOUTH KOREA",LLOYD'S SHIPPING REGISTER,MONROVIA,"CHANDRIS HELLAS - ATHENS, GREECE","CHANDRIS HELLAS - ATHENS, GREECE","SESTREA is a Crude oil tanker built in 2009 by SAMSUNG SHIPBUILDING & HEAVY INDUSTRIES CO. LTD. - GEOJE, SOUTH KOREA. Currently sailing under the flag of Liberia. Formerly also known as SESTREA. It's gross tonnage is 81502 tons.",,
9535163,477346500,HENRIKA SCHULTE,MOL GLIDE                                                                               (2022)                          MOL GLIDEGI,Container ship,Active,Hong Kong,59307 tons,71339 tons,275 m,40 m,MAN-B&W,2011,"HYUNDAI SAMHO HEAVY INDUSTRIES CO. LTD. - SAMHO, SOUTH KOREA",DET NORSKE VERITAS,HONG KONG,,,"HENRIKA SCHULTE is a Container ship built in 2011 by HYUNDAI SAMHO HEAVY INDUSTRIES CO. LTD. - SAMHO, SOUTH KOREA. Currently sailing under the flag of Hong Kong. Formerly also known as MOL GLIDE, MOL GLIDEGI. It's gross tonnage is 59307 tons.",K98ME-C,44900 KW
9293777,538007675,SEAMAX NEW HAVEN,SEAMAX NEW HAVEN                                                                               (2017)                          EVER CHARMING                                                                               (2017)                          EVER CHARMING                                                                               (2016),Container ship,Active,Marshall Islands,90449 tons,100887 tons,333 m,42 m,MAN-B&W,2005,"SAMSUNG SHIPBUILDING & HEAVY INDUSTRIES CO. LTD. - GEOJE, SOUTH KOREA",GERMANISCHER LLOYD,HAMBURG,"CONTI HOLDING - MUNCHEN, GERMANY","NSB NIEDERELBE - BUXTEHUDE, GERMANY","SEAMAX NEW HAVEN is a Container ship built in 2005 by SAMSUNG SHIPBUILDING & HEAVY INDUSTRIES CO. LTD. - GEOJE, SOUTH KOREA. Currently sailing under the flag of Marshall Islands. Formerly also known as SEAMAX NEW HAVEN, EVER CHARMING, EVER CHARMING. It's gross tonnage is 90449 tons.",12RTA-96C,6700 KW
9619464,477001100,MSC AGADIR,,Container ship,Active,Hong Kong,94453 tons,112044 tons,299 m,48 m,,2012,"HYUNDAI SAMHO HEAVY INDUSTRIES CO. LTD. - SAMHO, SOUTH KOREA",KOREAN SHIPPING REGISTER,HONG KONG,"HANSEATIC CHARTERING - LIMASSOL, CYPRUS","HANSEATIC CHARTERING - LIMASSOL, CYPRUS","MSC AGADIR is a Container ship built in 2012 by HYUNDAI SAMHO HEAVY INDUSTRIES CO. LTD. - SAMHO, SOUTH KOREA. Currently sailing under the flag of Hong Kong. It's gross tonnage is 94453 tons.",,
9341744,212772000,ATLANTIC HORIZON,"ATLANTIA HORIZON                                                                               (2012, Cyprus)                          MICHEL                                                                               (2008)",Container ship,Active,Cyprus,3990 tons,6090 tons,110 m,14 m,,2006,"FERUS SMIT SCHEEPSWERF - HOOGEZAND, NETHERLANDS",BUREAU VERITAS,LIMASSOL,"OOST ATLANTIC LIJN - ROTTERDAM, NETHERLANDS","OOST ATLANTIC LIJN - ROTTERDAM, NETHERLANDS","ATLANTIC HORIZON is a Container ship built in 2006 by FERUS SMIT SCHEEPSWERF - HOOGEZAND, NETHERLANDS. Currently sailing under the flag of Cyprus. Formerly also known as ATLANTIA HORIZON, MICHEL. It's gross tonnage is 3990 tons.",,2640 KW
9533995,636015304,STENA SURPRISE,"SKAMANDROS                                                                               (2017, Liberia)",Crude oil tanker,Active,Liberia,81299 tons,158491 tons,274 m,48 m,,2012,"SUNGDONG SHIPBUILDING & MARINE ENGINEERING CO. LTD. - TONGYOUNG, SOUTH KOREA",LLOYD'S SHIPPING REGISTER,MONROVIA,"MEANDROS LINES - ATHENS, GREECE","WESTGATE TANKSHIPS - ATHENS, GREECE","STENA SURPRISE is a Crude oil tanker built in 2012 by SUNGDONG SHIPBUILDING & MARINE ENGINEERING CO. LTD. - TONGYOUNG, SOUTH KOREA. Currently sailing under the flag of Liberia. Formerly also known as SKAMANDROS. It's gross tonnage is 81299 tons.",,
9428671,224994000,BAHIA TRES,CATERINA COSULICH,Oil tanker,Active,Spain,4969 tons,6850 tons,99 m,18 m,Daihatsu,2007,"SOPO SHIPYARD - ZHENJIANG, CHINA",BUREAU VERITAS,SANTA CRUZ DE TENERIFE,"NAVIERA MURUETA - BILBAO, SPAIN","NAVIERA MURUETA - BILBAO, SPAIN","BAHIA TRES is a Oil tanker built in 2007 by SOPO SHIPYARD - ZHENJIANG, CHINA. Currently sailing under the flag of Spain. Formerly also known as CATERINA COSULICH. It's gross tonnage is 4969 tons.",6DS-32,3500 KW
9526071,246733000,BANDURA,,General cargo vessel,Active,Netherlands,5425 tons,8217 tons,118 m,16 m,MAK,2010,"DAMEN SHIPYARD BERGUM - BERGUM, NETHERLANDS",LLOYD'S SHIPPING REGISTER,NOORDWIJK,"NOORDWIJK OCEAN SERVICES - NOORDWIJK, NETHERLANDS","NOORDWIJK OCEAN SERVICES - NOORDWIJK, NETHERLANDS","BANDURA is a General cargo vessel built in 2010 by DAMEN SHIPYARD BERGUM - BERGUM, NETHERLANDS. Currently sailing under the flag of Netherlands. It's gross tonnage is 5425 tons.",9M25,2970 KW
9695028,636016306,MSC SOFIA PAZ,SYMI I                                                                               (2021)                          SYMI I                                                                               (2021)                          SYMI                                                                               (2018)                          UASC JILFAR                                                                               (2017),Container ship,Active,Liberia,94930 tons,112171 tons,299 m,48 m,,2014,"HYUNDAI SAMHO HEAVY INDUSTRIES CO. LTD. - SAMHO, SOUTH KOREA",AMERICAN BUREAU OF SHIPPING,MONROVIA,"SYMI SHIPPING - MONROVIA, LIBERIA","SYMI SHIPPING - MONROVIA, LIBERIA","MSC SOFIA PAZ is a Container ship built in 2014 by HYUNDAI SAMHO HEAVY INDUSTRIES CO. LTD. - SAMHO, SOUTH KOREA. Currently sailing under the flag of Liberia. Formerly also known as SYMI I, SYMI I, SYMI, UASC JILFAR. It's gross tonnage is 94930 tons.",,
9400980,311007500,ORACLE,"OR1CLE                                                                               (2018, Bahamas)",Crude oil tanker,Active,Bahamas,55894 tons,105380 tons,229 m,42 m,B&W,2008,"SUMITOMO HEAVY INDUSTRIES - TOKYO, JAPAN",LLOYD'S SHIPPING REGISTER,NASSAU,"SAMOS STEAMSHIP - ATHENS, GREECE","SAMOS STEAMSHIP - ATHENS, GREECE","ORACLE is a Crude oil tanker built in 2008 by SUMITOMO HEAVY INDUSTRIES - TOKYO, JAPAN. Currently sailing under the flag of Bahamas. Formerly also known as OR1CLE. It's gross tonnage is 55894 tons.",6S60MC-C,12350 KW
9555084,636016937,GALBOT,MT GALBOT                                                                               (2021)                          MT/ GALBOT                                                                               (2017)                          MT/ GALBOT                                                                               (2015)                          GALBOT                                                                               (2015)                          AL MAHBOOBAH                                                                               (2012)                          AL MAHBOOBAH                                                                               (2011),Chemical/Oil tanker,Active,Liberia,5581 tons,7304 tons,101 m,19 m,MAK,2010,"HESHUN SHIPYARD - QINGDAO, CHINA",BUREAU VERITAS,MONROVIA,"FOLK SHIPPING - DUBAI, UNITED ARAB EMIRATES","FOLK SHIPPING - DUBAI, UNITED ARAB EMIRATES","GALBOT is a Chemical/Oil tanker built in 2010 by HESHUN SHIPYARD - QINGDAO, CHINA. Currently sailing under the flag of Liberia. Formerly also known as MT GALBOT, MT/ GALBOT, MT/ GALBOT, GALBOT, AL MAHBOOBAH, AL MAHBOOBAH. It's gross tonnage is 5581 tons.",9l25,3000 KW
9587843,228079600,ASTELLA,"ASHB                                                                               (2019, France)                          ASTEOLA                                                                               (2018, France)                          ASTELLA                                                                               (2016, Marshall Islands)",Chemical/Oil tanker,Active,France,23248 tons,37583 tons,184 m,27 m,MAN-B&W,2011,"HYUNDAI MIPO DOCKYARD CO. LTD. - ULSAN, SOUTH KOREA",,MARSEILLES,"SOCATRA - BORDEAUX, FRANCE","SOCATRA - BORDEAUX, FRANCE","ASTELLA is a Chemical/Oil tanker built in 2011 by HYUNDAI MIPO DOCKYARD CO. LTD. - ULSAN, SOUTH KOREA. Currently sailing under the flag of France. Formerly also known as ASHB, ASTEOLA, ASTELLA. It's gross tonnage is 23248 tons.",,7860 KW
9594743,538004032,PECOS,,Crude oil tanker,Active,Marshall Islands,81341 tons,158465 tons,274 m,48 m,,2012,"SAMSUNG SHIPBUILDING & HEAVY INDUSTRIES CO. LTD. - GEOJE, SOUTH KOREA",AMERICAN BUREAU OF SHIPPING,,"DIAMOND S MANAGEMENT - GREENWICH CT, United States (USA)","DIAMOND S MANAGEMENT - GREENWICH CT, United States (USA)","PECOS is a Crude oil tanker built in 2012 by SAMSUNG SHIPBUILDING & HEAVY INDUSTRIES CO. LTD. - GEOJE, SOUTH KOREA. Currently sailing under the flag of Marshall Islands. It's gross tonnage is 81341 tons.",,
9442184,205770000,ELISABETH,ELISABETH                                                                               (2019),LPG carrier,Active,Belgium,3493 tons,3990 tons,97 m,16 m,,2009,"YAMANISHI SHIPBUILDING & IRON WORKS - ISHINOMAKI, JAPAN",,ANTWERP,"EXMAR - ANTWERP, BELGIUM","EXMAR - ANTWERP, BELGIUM","ELISABETH is a LPG carrier built in 2009 by YAMANISHI SHIPBUILDING & IRON WORKS - ISHINOMAKI, JAPAN. Currently sailing under the flag of Belgium. Formerly also known as ELISABETH. It's gross tonnage is 3493 tons.",,
9467457,351848000,MSC KATIE,,Container ship,Active,Panama,140096 tons,154792 tons,365 m,48 m,,2012,"STX OFFSHORE & SHIPBUILDING CO. LTD. - JINHAE, SOUTH KOREA",GERMANISCHER LLOYD,,"MSC MEDITERRANEAN SHIPPING - GENEVA, SWITZERLAND","MSC MEDITERRANEAN SHIPPING - GENEVA, SWITZERLAND","MSC KATIE is a Container ship built in 2012 by STX OFFSHORE & SHIPBUILDING CO. LTD. - JINHAE, SOUTH KOREA. Currently sailing under the flag of Panama. It's gross tonnage is 140096 tons.",,
9579030,310620000,STENA SUPERIOR,,Crude oil tanker,Active,Bermuda,81232 tons,159000 tons,274 m,48 m,,2011,"SAMSUNG SHIPBUILDING & HEAVY INDUSTRIES CO. LTD. - GEOJE, SOUTH KOREA",BUREAU VERITAS,HAMILTON,"STENA BULK - GOTHENBURG, SWEDEN","STENA BULK - GOTHENBURG, SWEDEN","STENA SUPERIOR is a Crude oil tanker built in 2011 by SAMSUNG SHIPBUILDING & HEAVY INDUSTRIES CO. LTD. - GEOJE, SOUTH KOREA. Currently sailing under the flag of Bermuda. It's gross tonnage is 81232 tons.",,
9573696,636015154,PACIFIC QUARTZ,,Crude oil tanker,Active,Liberia,28778 tons,47941 tons,179 m,32 m,B&W,2011,"IWAGI SHIPBUILDING - KAMIJIMA, JAPAN",,MONROVIA,KAIRASU SHIPPING - PANAMA,KAIRASU SHIPPING - PANAMA,"PACIFIC QUARTZ is a Crude oil tanker built in 2011 by IWAGI SHIPBUILDING - KAMIJIMA, JAPAN. Currently sailing under the flag of Liberia. It's gross tonnage is 28778 tons.",6L50MCE,9480 KW
9633953,372723000,CAP SAN SOUNIO,"CAP SAN SOUNIO                                                                               (2019, Singapore)                          CAH SAN SOUNIO 2                                                                               (2018, Singapore)",Container ship,Active,Panama,118938 tons,124426 tons,333 m,48 m,MAN-B&W,2014,"HYUNDAI HEAVY INDUSTRIES CO. LTD. - ULSAN, SOUTH KOREA",GERMANISCHER LLOYD,,ENESEL SINGAPORE - SINGAPORE,"ENESEL - ATHENS, GREECE","CAP SAN SOUNIO is a Container ship built in 2014 by HYUNDAI HEAVY INDUSTRIES CO. LTD. - ULSAN, SOUTH KOREA. Currently sailing under the flag of Panama. Formerly also known as CAP SAN SOUNIO, CAH SAN SOUNIO 2. It's gross tonnage is 118938 tons.",7S90ME-GI,40670 KW
9293789,255805960,CONTI COURAGE,CONTI COURAGE                                                                               (2020)                          HATSU COURAGE                                                                               (2017)                          HATSU COURAGE                                                                               (2016),Container ship,Active,Portugal,90449 tons,100936 tons,334 m,42 m,Sulzer,2005,"SAMSUNG SHIPBUILDING & HEAVY INDUSTRIES CO. LTD. - GEOJE, SOUTH KOREA",GERMANISCHER LLOYD,HAMBURG,"CONTI HOLDING - MUNCHEN, GERMANY","NSB NIEDERELBE - BUXTEHUDE, GERMANY","CONTI COURAGE is a Container ship built in 2005 by SAMSUNG SHIPBUILDING & HEAVY INDUSTRIES CO. LTD. - GEOJE, SOUTH KOREA. Currently sailing under the flag of Portugal. Formerly also known as CONTI COURAGE, HATSU COURAGE, HATSU COURAGE. It's gross tonnage is 90449 tons.",12RTA-96C,68640 KW
9697648,538005189,SAINT ALBANS BAY,,Chemical/Oil tanker,Active,Marshall Islands,29806 tons,49990 tons,183 m,32 m,,2015,"SPP SHIPBUILDING SACHEON SHIPYARD - SACHEON, SOUTH KOREA",DET NORSKE VERITAS,,SCORPIO COMMERCIAL MANAGEMENT - MONACO,SCORPIO COMMERCIAL MANAGEMENT - MONACO,"SAINT ALBANS BAY is a Chemical/Oil tanker built in 2015 by SPP SHIPBUILDING SACHEON SHIPYARD - SACHEON, SOUTH KOREA. Currently sailing under the flag of Marshall Islands. It's gross tonnage is 29806 tons.",,
9282261,353873000,MSC ANS,,Container ship,Active,Panama,54304 tons,68599 tons,294 m,32 m,B&W,2004,"HANJIN HEAVY INDUSTRIES CO. LTD. - BUSAN, SOUTH KOREA",GERMANISCHER LLOYD,,,,"MSC ANS is a Container ship built in 2004 by HANJIN HEAVY INDUSTRIES CO. LTD. - BUSAN, SOUTH KOREA. Currently sailing under the flag of Panama. It's gross tonnage is 54304 tons.",9K90GF,55890 KW
9506186,215875000,TRISTAR DANA,TRISTAR DANA                                                                               (2020)                          ESHIPS DANA                                                                               (2020),LPG carrier,Active,Malta,7267 tons,7868 tons,116 m,18 m,,2010,"STX SHIPBUILDING CO. LTD. - BUSAN, SOUTH KOREA",DET NORSKE VERITAS,,"ESHIPS - ABU DHABI, UNITED ARAB EMIRATES",ANGLO EASTERN SHIPMANAGEMENT SINGAPORE - SINGAPORE,"TRISTAR DANA is a LPG carrier built in 2010 by STX SHIPBUILDING CO. LTD. - BUSAN, SOUTH KOREA. Currently sailing under the flag of Malta. Formerly also known as TRISTAR DANA, ESHIPS DANA. It's gross tonnage is 7267 tons.",,
9742819,248720000,CASTILLO DE CALDELAS,CAST LHO DE CAN3XAI                                                                               (2018)                          CASTILLO DE CALDELAS                                                                               (2018),LNG carrier,Active,Malta,126004 tons,84190 tons,297 m,49 m,,2018,,,,,,"CASTILLO DE CALDELAS is a LNG carrier built in 2018. Currently sailing under the flag of Malta. Formerly also known as CAST LHO DE CAN3XAI, CASTILLO DE CALDELAS. It's gross tonnage is 126004 tons.",,
9711535,241409000,DILOS,"DILOU                                                                               (2018, Greece)",LPG carrier,Active,Greece,13794 tons,15050 tons,147 m,22 m,MAN-B&W,2016,"HYUNDAI MIPO DOCKYARD CO. LTD. - ULSAN, SOUTH KOREA",,,"ELETSON - ATHENS, GREECE","ELETSON - ATHENS, GREECE","DILOS is a LPG carrier built in 2016 by HYUNDAI MIPO DOCKYARD CO. LTD. - ULSAN, SOUTH KOREA. Currently sailing under the flag of Greece. Formerly also known as DILOU. It's gross tonnage is 13794 tons.",6S46ME-B,6430 KW
9057214,667001976,URANUS II,TRADER                                                                               (2019)                          TRADER                                                                               (2019)                          URANUS II                                                                               (2019)                          URANUS II                                                                               (2019)                          ELIF                                                                               (2019)                          ELIF                                                                               (2017)                          TRADER                                                                               (2012)                          TRADERBBB                                                                               (2012)                          TRADER                                                                               (2011)                          YULIA                                                                               (2011)                          KAPITAN KABARDUKOV                                                                               (2005)                          SEACROSS                                                                               (2002)                          KOMETA                                                                               (2000)                          LIEKE                                                                               (1995)                          ALMA ATA                                                                               (1994),General cargo vessel,Active,Sierra Leone,2575 tons,3092 tons,86 m,14 m,MAN-B&W,1992,"SANTIERUL NAVAL SEVERNAV - SEVERIN, ROMANIA",RUSSIAN MARITIME REGISTER OF SHIPPING,AVATIU,"JAY MANAGEMENT ATHENS, GREECE","JAY MANAGEMENT ATHENS, GREECE","URANUS II is a General cargo vessel built in 1992 by SANTIERUL NAVAL SEVERNAV - SEVERIN, ROMANIA. Currently sailing under the flag of Sierra Leone. Formerly also known as TRADER, TRADER, URANUS II, URANUS II, ELIF, ELIF, TRADER, TRADERBBB, TRADER, YULIA, KAPITAN KABARDUKOV, SEACROSS, KOMETA, LIEKE, ALMA ATA. It's gross tonnage is 2575 tons.",4L35MC,1800 KW
9710438,255805864,MSC CHANNE,"MSC CHANNE                                                                               (2019, China)",Container ship,Active,Portugal,95403 tons,109496 tons,299 m,48 m,,2015,"NEW TIMES SHIPBUILDING - JINGJIANG, CHINA",GERMANISCHER LLOYD,,"CHINA INTERNATIONAL MARINE CONTAINERS GROUP - SHENZHEN, CHINA","CHINA INTERNATIONAL MARINE CONTAINERS GROUP - SHENZHEN, CHINA","MSC CHANNE is a Container ship built in 2015 by NEW TIMES SHIPBUILDING - JINGJIANG, CHINA. Currently sailing under the flag of Portugal. Formerly also known as MSC CHANNE. It's gross tonnage is 95403 tons.",,
9433365,253778000,ANNE,DAMINA                                                                               (2021)                          DAMINA                                                                               (2021)                          DAMINA                                                                               (2020)                          DAMINA                                                                               (2020),General cargo vessel,Active,Luxembourg,4723 tons,7594 tons,116 m,15 m,MAK,2010,"BODEWES SHIPYARD - HOOGEZAND, NETHERLANDS",GERMANISCHER LLOYD,SAINT JOHN'S,"STRAHLMANN REEDEREI - BRUNSBUETTEL, GERMANY","STRAHLMANN REEDEREI - BRUNSBUETTEL, GERMANY","ANNE is a General cargo vessel built in 2010 by BODEWES SHIPYARD - HOOGEZAND, NETHERLANDS. Currently sailing under the flag of Luxembourg. Formerly also known as DAMINA, DAMINA, DAMINA, DAMINA. It's gross tonnage is 4723 tons.",6M32,2999 KW
9149897,538090029,WEHR SCHULAU,"WFJR B#HULAU                                                                               (2018, Marshall Islands)                          ELQUI                                                                               (2013, Marshall Islands)                          WEHR PAROM0 ATION",Container ship,Active,Marshall Islands,16177 tons,23026 tons,184 m,25 m,Sulzer,1999,"STOCZNIA SZCZECINSKA NOWA SP Z OO - SZCZECIN, POLAND",GERMANISCHER LLOYD,,"WEHR REEDEREI - HAMBURG, GERMANY","WEHR REEDEREI - HAMBURG, GERMANY","WEHR SCHULAU is a Container ship built in 1999 by STOCZNIA SZCZECINSKA NOWA SP Z OO - SZCZECIN, POLAND. Currently sailing under the flag of Marshall Islands. Formerly also known as WFJR B#HULAU, ELQUI, WEHR PAROM0 ATION. It's gross tonnage is 16177 tons.",6RTA-62U,13320 KW
9687552,636092786,CAUQUENES,CORCOVADO                                                                               (2015),Container ship,Active,Liberia,93685 tons,104544 tons,299 m,48 m,,2015,"SAMSUNG SHIPBUILDING & HEAVY INDUSTRIES CO. LTD. - GEOJE, SOUTH KOREA",,MONROVIA,"CSAV - VALPARAISO, CHILE","CSAV - VALPARAISO, CHILE","CAUQUENES is a Container ship built in 2015 by SAMSUNG SHIPBUILDING & HEAVY INDUSTRIES CO. LTD. - GEOJE, SOUTH KOREA. Currently sailing under the flag of Liberia. Formerly also known as CORCOVADO. It's gross tonnage is 93685 tons.",,
